date,y,g,tauK,tauL,tauP,tauC,rdebt,rdebt_pub,newsy
1929,11133.6385901395,1024.59801938026,0.192150192569041,0.0163534800946074,0.0153355673461789,0.0303724317918536,NaN,1716.46577266846,0
1930,10208.2410279132,1137.90429774036,0.212723761387238,0.0165528340876553,0.0154448931561071,0.033052495139339,NaN,1740.55678532594,0
1931,9512.16814159292,1249.87708947886,0.248913840360301,0.0115271722538285,0.0101543256421857,0.0363841344675618,NaN,2189.5573390881,0
1932,8256.62366486337,1240.94881398252,0.329954161968421,0.00994000328864138,0.00803814086323645,0.0460831472255626,NaN,2933.48002481134,0
1933,8148.56002281152,1265.32648987739,0.346086323277076,0.0128409968109839,0.0111594061340105,0.0674209511418814,NaN,3283.15256400669,0
1934,9082.25696804895,1457.64785859959,0.290719631986073,0.0124626211195817,0.0108837526857969,0.07787529061852,NaN,4123.01485413071,0.00250703619818172
1935,9894.84206317473,1486.20551779288,0.261669853883821,0.0134048801184201,0.0119849014594096,0.0763398441258539,NaN,4376.50354780148,0
1936,11166.2498354614,1763.59089114124,0.260030661839864,0.0198706037903337,0.0138161029061458,0.0761962447001817,NaN,4953.03403529821,0
1937,11811.4046228092,1666.11633223266,0.252028054440812,0.0470161932287262,0.0208531984577754,0.077006123106671,NaN,4887.25993393065,0
1938,11303.3126293996,1833.59213250518,0.26195645855169,0.0527380917734952,0.0218869302021385,0.0780817552040525,NaN,4979.44307117994,0.000166136336224101
1939,12242.7935010482,1987.02830188679,0.252753035476646,0.0465317437507599,0.0148602628690439,0.0779656123692821,6315.51362683438,5424.52830188679,0.00260388870273658
1940,13361.7711985456,2020.77652252954,0.275762537965045,0.0467365447012893,0.0157420626397645,0.0817602427921093,6583.5605765485,5557.71977665238,0.0770816746887663
1941,15759.7806215722,3392.56550883608,0.349482149287808,0.0485260619524467,0.0182044301690202,0.0886970067278123,7007.92199878123,5874.46678854357,0.298261787808261
1942,18669.3666329171,7361.9079761503,0.377242950621348,0.0600660510994235,0.0330278902184067,0.0868880286248122,8909.88862639217,7627.40465744178,0.172827168001937
1943,21804.1657719562,10524.2645479923,0.443224865259308,0.121728609014111,0.0972361270022883,0.0863036339516778,15310.2855915826,13721.2797938587,0.0372866182805783
1944,23536.807885906,11392.9320469799,0.418159343137134,0.121924883116386,0.0958730441165023,0.0919177503969769,21403.1040268456,19379.1946308725,-0.0218164738382389
1945,23327.9107837119,9862.49232658072,0.407196194156815,0.138044952420041,0.107017632723814,0.0954402687995325,26611.4180478821,24063.8428483732,-0.0576624496171522
1946,20675.6019990913,3909.76828714221,0.367591288132609,0.135975442183748,0.0959803915954163,0.0907399282915538,24625.1703771013,21980.9177646524,0.00488573506823115
1947,20390.1323313184,3253.3082829603,0.386544213835076,0.131850762876979,0.100918055439243,0.0855847396238564,21001.4703479824,18322.169580134,0.00878103312162822
1948,21215.737806292,3382.15969699312,0.35030983224659,0.109743580394717,0.086196130309492,0.0855919051461916,19479.0136816882,16719.486743449,0.00518456629836144
1949,21068.1976339596,3851.23327920823,0.33078785359943,0.102665682461155,0.076992627958265,0.0869257821309067,19531.4312224542,16570.0146911003,-0.00178533272362351
1950,22966.4496361547,3869.39869781693,0.407693494125749,0.104355449634595,0.0782581038914152,0.0896917219426114,19678.2841823056,16775.181922635,0.26797956405479
1951,24886.2266857963,5258.53658536585,0.448186338467686,0.123284285092648,0.0978107949174117,0.0891264572115636,18314.2037302726,15373.0272596844,0.00336214023500234
1952,25789.1743892165,6289.17438921651,0.425078689784515,0.133647656846861,0.110091127437129,0.0934072508275835,18190.1151361977,15080.0336983993,-0.00317124939207625
1953,26980.3133231665,6707.68057673645,0.431278660321766,0.131311119066073,0.108609013594593,0.0940371824100407,18438.9297102454,15139.3317620962,-0.0171758663432813
