Data,A955RX1Q020SBEA
1971,1318.10525
1972,1322.88175
1973,1311.55175
1974,1339.88025
1975,1372.581
1976,1372.59925
1977,1396.979
1978,1421.82975
1979,1432.71075
1980,1454.17575
1981,1477.4695
1982,1511.8975
1983,1557.628
1984,1580.9785
1985,1657.004
1986,1733.036
1987,1766.96125
1988,1802.037
1989,1857.455
1990,1908.41725
1991,1941.7105
1992,1954.33575
1993,1953.25375
1994,1963.34425
1995,1968.66875
1996,1977.52475
1997,2013.86725
1998,2051.57875
1999,2107.73575
2000,2140.11025
2001,2215.1415
2002,2300.25275
2003,2342.55375
2004,2378.71625
2005,2398.6685
2006,2427.967
2007,2466.80375
2008,2525.312
2009,2629.794
2010,2632.68125
2011,2553.21725
2012,2515.97925
2013,2468.2665
