h,b_ly,se_ly,b_lg,se_lg,b_taul,se_taul,b_tauk,se_tauk,b_lb,se_lb,b_tauc,se_tauc,b_taup,se_taup
0,0.2554813623,0.0274962839,0.3817460835,0.2261907905,-0.0042858506,0.0180496294,0.1979819685,0.0143943503,0.0260313302,0.0759135708,0.0133692455,0.0029662473,-0.0046498189,0.0114511298
1,0.5465308428,0.0387990177,2.0302264690,0.4529572427,0.0530335009,0.0271318462,0.2699329853,0.0255506486,0.3915173709,0.2347908467,0.0050516753,0.0047400557,0.0616804734,0.0168001279
2,0.5716261864,0.0935920030,2.2681641579,0.4715510905,0.1487563699,0.0236387830,0.1720290631,0.0778825060,1.4097843170,0.5001934767,0.0008994339,0.0039978744,0.1457894295,0.0242101122
3,0.4505888820,0.0873769298,1.4843077660,0.4221140146,0.1322950125,0.0309200212,0.0935604870,0.0374264084,1.8257683516,0.5904817581,0.0129246963,0.0038214028,0.0853225216,0.0187263601
4,0.0097420476,0.1146362051,-0.1670312881,0.4085803926,0.0907099172,0.0371842571,-0.0706440136,0.0428211391,1.5528782606,0.5933396816,0.0085842051,0.0070321271,0.0076483465,0.0202311631
5,-0.2864369154,0.1838179976,-2.2375133038,0.7761909366,0.0578587651,0.0337515138,-0.1018504128,0.0580328926,0.6169602871,0.4695550203,-0.0019804500,0.0046579065,-0.0137177352,0.0188387595
6,-0.3947368562,0.1889835447,-2.5679485798,0.8664979339,0.0177117605,0.0413247347,-0.0665151551,0.0460848249,-0.4179186225,0.3785914183,-0.0118219918,0.0047430922,-0.0113914665,0.0233541485
7,-0.2431028932,0.1403531581,-1.4213787317,0.6412279010,-0.0369889587,0.0448715910,-0.0675277486,0.0373833068,-0.8797544241,0.3976702988,-0.0141627071,0.0034653079,-0.0402985923,0.0319101475
8,-0.2146883607,0.0897367224,-0.2151464522,0.3611935675,-0.0541810244,0.0482001118,-0.0768486261,0.0426024906,-0.6594440341,0.3328961432,-0.0153895542,0.0030628145,-0.0604906678,0.0374702848
9,0.1076688021,0.0383944996,0.5749208927,0.1684782207,-0.0170493890,0.0337586142,0.1433730423,0.0329778418,-0.2171696872,0.2532618046,-0.0016283866,0.0083374083,-0.0210489016,0.0248785410
10,0.1756878048,0.1239543557,1.0822805166,0.4209506214,0.0426397733,0.0185033847,0.1859824806,0.0864861757,-0.0746833012,0.2662062943,0.0071842037,0.0048290393,0.0338827632,0.0134331370
